"type","code","message","context","selector"
"error","WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #0a50c5.","<a href=\"/inclue/considerations?filter=Sports\">Sports</a>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > ul > li:nth-child(3) > a"
"error","WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #0a50c5.","<a href=\"/inclue/considerations\">Todos</a>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > ul > li:nth-child(4) > a"
"error","WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #0a50c5.","<div class=\"bg-primary text-justify text-white rounded-lg\">Technology</div>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(3) > div:nth-child(1) > div > div:nth-child(2)"
"error","WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #0a50c5.","<div class=\"bg-primary text-justify text-white rounded-lg\">Science</div>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(3) > div:nth-child(2) > div > div:nth-child(2)"
"error","WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #0a50c5.","<div class=\"bg-primary text-justify text-white rounded-lg\">Sports</div>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(3) > div:nth-child(3) > div > div:nth-child(2)"
"error","WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #0a50c5.","<div class=\"bg-primary text-justify text-white rounded-lg\">Sports</div>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(3) > div:nth-child(4) > div > div:nth-child(2)"
"error","WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #0a50c5.","<div class=\"bg-primary text-justify text-white rounded-lg\">Sports</div>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(3) > div:nth-child(5) > div > div:nth-child(2)"
"error","WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #0a50c5.","<div class=\"bg-primary text-justify text-white rounded-lg\">Sports</div>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(3) > div:nth-child(6) > div > div:nth-child(2)"
"error","WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.1.NoTitleEl","A title should be provided for the document, using a non-empty title element in the head section.","<head><meta charset=\"utf-8\"><meta nam...</head>","html > head"
"error","WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.65:1. Recommendation:  change text colour to #0b1120.","<span class=\"text-md font-medium text-text-light\">Inicio</span>","#__next > div > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(1) > a > div > span"
"error","WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.38:1. Recommendation:  change text colour to #000615.","<span class=\"text-md font-medium text-text-light\">Considerações de Design</span>","#__next > div > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(2) > a > div > span"
"error","WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.65:1. Recommendation:  change text colour to #0b1120.","<span class=\"text-md font-medium text-text-light\">Personas</span>","#__next > div > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(3) > a > div > span"
"error","WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.65:1. Recommendation:  change text colour to #0b1120.","<span class=\"text-md font-medium text-text-light\">Perguntas e Respostas</span>","#__next > div > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(4) > a > div > span"
"error","WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.65:1. Recommendation:  change text colour to #0b1120.","<span class=\"text-md font-medium text-text-light\">Sobre</span>","#__next > div > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(5) > a > div > span"
"error","WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #0a50c5.","<h1>Considerações de Design e Avali...</h1>","#__next > div > div:nth-child(2) > div:nth-child(1) > h1"
"error","WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #0a50c5.","<div class=\"bg-primary text-white rounded-lg\">Technology</div>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(3) > div:nth-child(1) > div"
